Unnamed: 0,member_id,sku_id,num
0,250,742,2
1,250,3371,1
2,283,1198,1
3,279,1102,1
4,279,5721,1
5,260,5119,1
6,270,5278,1
7,244,5214,1
8,275,5120,1
9,243,5120,1
10,279,5120,1
11,279,5119,1
12,275,5556,1
13,300,2974,1
14,377,942,1
15,312,1133,1
16,312,4745,1
17,312,5898,1
18,305,5898,1
19,305,1058,1
20,293,1757,1
21,322,5811,1
22,312,5604,1
23,305,1316,1
24,293,5813,1
25,293,3661,1
26,660,5474,1
27,305,1494,1
28,660,3267,1
29,660,3132,1
30,293,5154,1
31,660,3850,1
32,660,2750,1
33,338,2626,1
34,304,4268,1
35,338,4970,1
36,338,5436,1
37,338,5477,1
38,338,5622,1
39,338,5910,1
40,1312,5896,1
41,456,628,1
42,433,6031,1
43,679,5977,1
44,426,5978,1
45,1913,957,1
46,333,5635,1
47,333,5724,1
48,433,5976,1
49,2572,5978,1
50,484,5975,1
51,985,6030,1
52,981,5978,1
53,401,5357,1
54,401,782,1
55,1034,5974,1
56,1166,5975,1
57,388,5978,1
58,531,5978,1
59,1900,6029,1
60,356,5975,1
61,1409,5976,1
62,1393,6029,1
63,1128,5974,1
64,402,6031,1
65,533,5978,1
66,402,5978,1
67,397,5975,1
68,382,5984,1
69,3414,5975,1
70,2904,5977,1
71,431,5975,1
72,523,5974,1
73,3776,5978,1
74,434,5976,1
75,396,5407,1
76,333,5465,1
77,396,5624,1
78,300,5686,1
79,433,2773,1
80,354,5839,1
81,396,5471,1
82,354,5214,1
83,396,5357,1
84,403,4202,1
85,354,5448,1
86,396,2501,1
87,6854,5194,1
88,6854,5531,1
89,305,5435,10
90,305,5436,3
91,293,5436,1
92,305,2880,1
93,396,953,1
94,304,5356,1
95,1516,3430,1
96,351,2903,1
97,2060,2871,1
98,985,3431,1
99,1165,3428,1
100,6987,3431,1
101,1456,2075,1
102,434,3429,1
103,402,3432,1
104,2371,788,1
105,2572,6014,1
106,3063,1062,1
107,8197,845,1
108,434,3120,1
109,294,789,1
110,293,5101,1
111,2517,1062,1
112,694,1096,1
113,1165,1069,1
114,419,5473,1
115,419,5445,1
116,419,5546,1
117,8075,1061,1
118,1516,1060,1
119,382,6013,1
120,5893,1061,1
121,415,5918,1
122,8721,5028,1
123,8721,725,1
124,8721,2948,1
125,8721,2252,1
126,8075,6012,1
127,8118,1059,1
128,409,5914,1
129,2343,5089,1
130,2343,5685,1
131,2343,5195,1
132,2343,5355,1
133,2343,5532,1
134,2343,5278,1
135,7437,5729,1
136,7437,5610,1
137,7437,5213,1
138,297,5473,1
139,8963,5111,1
140,5670,5730,1
141,8963,5274,1
142,465,5210,1
143,397,1007,1
144,9351,1623,1
145,8391,1006,1
146,1516,629,1
147,9403,5636,1
148,9403,5355,1
149,9414,5024,1
150,9436,898,1
151,9436,976,1
152,9351,1624,1
153,340,5478,1
154,2595,2777,1
155,9048,3372,1
156,9048,3330,1
157,9048,5434,1
158,2371,5434,1
159,2371,5553,2
160,2371,5549,1
161,9485,5554,1
162,9492,2502,1
163,9492,3370,1
164,9493,5446,1
165,415,804,1
166,9514,934,1
167,9514,4061,1
168,465,5530,1
169,969,5864,1
170,969,5865,1
171,969,5279,1
172,969,5275,1
173,9527,5554,1
174,9527,5028,1
175,9527,5687,1
176,9527,5448,1
177,7051,4746,1
178,7051,5131,1
179,314,5065,1
180,314,5476,1
181,9351,3842,1
182,9351,3964,1
183,309,793,1
184,304,5435,1
185,314,5921,1
186,500,804,1
187,3257,5687,1
188,309,5813,1
189,9545,5110,1
190,9545,5067,1
191,9545,5919,1
192,9544,5894,1
193,9544,1306,1
194,9544,1520,1
195,1889,5125,1
196,9566,834,1
197,9566,5068,1
198,4398,5424,1
199,4398,5407,1
200,465,5443,1
201,465,5109,1
202,465,3806,1
203,465,5918,1
204,465,3567,1
205,9590,1198,1
206,2595,5843,1
207,9602,5812,1
208,9602,5199,1
209,533,5950,1
210,533,5807,1
211,9618,5355,1
212,9619,2503,1
213,9619,4060,1
214,9619,1613,1
215,293,5640,1
216,293,5638,1
217,404,5468,1
218,377,5922,1
219,473,5550,1
220,473,3343,1
221,305,5357,1
222,1058,5400,1
223,1058,5897,1
224,309,2474,1
225,433,4053,1
226,433,5400,1
227,9660,5842,1
228,9660,5195,1
229,419,1160,1
230,9669,5224,1
231,9669,5067,1
232,351,3817,1
233,9677,5922,1
234,9677,5027,1
235,9681,5476,1
236,9681,5524,1
237,9710,5477,1
238,351,5687,1
239,1829,1633,1
240,9725,5652,1
241,500,5377,1
242,500,5098,1
243,1982,1465,1
244,1982,5211,1
245,1982,5728,1
246,438,5324,1
247,1425,3355,1
248,9745,5548,1
249,9748,5279,1
250,9748,5555,1
251,9087,5814,1
252,9087,5593,1
253,9544,1073,2
254,9779,5556,1
255,9779,5471,1
256,9782,5446,1
257,9782,5068,1
258,9782,5408,1
259,9782,5919,1
260,9785,5624,1
261,9785,5628,1
262,9794,3491,1
263,9794,2745,1
264,995,5436,1
265,9816,5423,1
266,9839,5109,1
267,9839,5115,1
268,9845,1072,1
269,3102,5195,1
270,3102,5197,1
271,3102,2465,1
272,3102,782,1
273,3102,1125,1
274,1750,3215,1
275,2682,5919,1
276,9865,2046,1
277,9865,2465,1
278,692,5896,1
279,692,1074,1
280,692,4277,1
281,692,5803,1
282,692,5895,1
283,9884,5893,1
284,9884,5683,1
285,365,5070,1
286,9890,5474,1
287,9894,5434,1
288,9894,5355,1
289,9890,2749,1
290,434,2472,1
291,9914,5664,1
292,9914,5070,1
293,9914,934,1
